2021-01-17 19:30:57	[Main thread]	TRACE			Initiating cluster with 23 threads
2021-01-17 19:31:02	[Thread 2]	TRACE			Thread 2 initiated
2021-01-17 19:31:02	[Thread 1]	TRACE			Thread 1 initiated
2021-01-17 19:31:02	[Thread 3]	TRACE			Thread 3 initiated
2021-01-17 19:31:02	[Thread 7]	TRACE			Thread 7 initiated
2021-01-17 19:31:02	[Thread 4]	TRACE			Thread 4 initiated
2021-01-17 19:31:02	[Thread 5]	TRACE			Thread 5 initiated
2021-01-17 19:31:02	[Thread 6]	TRACE			Thread 6 initiated
2021-01-17 19:31:02	[Thread 9]	TRACE			Thread 9 initiated
2021-01-17 19:31:02	[Thread 8]	TRACE			Thread 8 initiated
2021-01-17 19:31:02	[Thread 13]	TRACE			Thread 13 initiated
2021-01-17 19:31:02	[Thread 10]	TRACE			Thread 10 initiated
2021-01-17 19:31:02	[Thread 14]	TRACE			Thread 14 initiated
2021-01-17 19:31:02	[Thread 11]	TRACE			Thread 11 initiated
2021-01-17 19:31:02	[Thread 15]	TRACE			Thread 15 initiated
2021-01-17 19:31:02	[Thread 12]	TRACE			Thread 12 initiated
2021-01-17 19:31:02	[Thread 17]	TRACE			Thread 17 initiated
2021-01-17 19:31:02	[Thread 16]	TRACE			Thread 16 initiated
2021-01-17 19:31:02	[Thread 18]	TRACE			Thread 18 initiated
2021-01-17 19:31:02	[Thread 19]	TRACE			Thread 19 initiated
2021-01-17 19:31:02	[Thread 21]	TRACE			Thread 21 initiated
2021-01-17 19:31:02	[Thread 20]	TRACE			Thread 20 initiated
2021-01-17 19:31:02	[Thread 22]	TRACE			Thread 22 initiated
2021-01-17 19:31:02	[Thread 23]	TRACE			Thread 23 initiated
2021-01-17 19:34:57	[Thread 1]	WARN	rstan	throw_sampler_warnings	There were 80 divergent transitions after warmup. See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup to find out why this is a problem and how to eliminate them.
2021-01-17 19:34:57	[Thread 1]	WARN	rstan	throw_sampler_warnings	Examine the pairs() plot to diagnose sampling problems 
2021-01-17 19:35:09	[Thread 1]	WARN	rstan	throw_sampler_warnings	Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable. Running the chains for more iterations may help. See http://mc-stan.org/misc/warnings.html#tail-ess
2021-01-17 19:41:42	[Thread 1]	INFO			county = Colusa
2021-01-17 20:25:16	[Thread 9]	INFO			county = Tehama
2021-01-17 22:05:03	[Thread 8]	WARN	rstan	throw_sampler_warnings	There were 1 divergent transitions after warmup. See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup to find out why this is a problem and how to eliminate them.
2021-01-17 22:05:03	[Thread 8]	WARN	rstan	throw_sampler_warnings	Examine the pairs() plot to diagnose sampling problems 
2021-01-17 22:23:53	[Thread 8]	INFO			county = Shasta
2021-01-18 00:45:50	[Thread 22]	WARN	rstan	throw_sampler_warnings	Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable. Running the chains for more iterations may help. See http://mc-stan.org/misc/warnings.html#tail-ess
2021-01-18 00:47:10	[Thread 2]	INFO			county = Yuba
2021-01-18 00:51:13	[Thread 20]	WARN	rstan	throw_sampler_warnings	There were 55 divergent transitions after warmup. See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup to find out why this is a problem and how to eliminate them.
2021-01-18 00:51:13	[Thread 20]	WARN	rstan	throw_sampler_warnings	Examine the pairs() plot to diagnose sampling problems 
2021-01-18 00:51:52	[Thread 19]	WARN	rstan	throw_sampler_warnings	There were 1 divergent transitions after warmup. See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup to find out why this is a problem and how to eliminate them.
2021-01-18 00:51:52	[Thread 19]	WARN	rstan	throw_sampler_warnings	Examine the pairs() plot to diagnose sampling problems 
2021-01-18 00:52:12	[Thread 19]	WARN	rstan	throw_sampler_warnings	Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable. Running the chains for more iterations may help. See http://mc-stan.org/misc/warnings.html#tail-ess
2021-01-18 00:59:37	[Thread 18]	WARN	rstan	throw_sampler_warnings	There were 1 divergent transitions after warmup. See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup to find out why this is a problem and how to eliminate them.
2021-01-18 00:59:37	[Thread 18]	WARN	rstan	throw_sampler_warnings	Examine the pairs() plot to diagnose sampling problems 
2021-01-18 00:59:57	[Thread 18]	WARN	rstan	throw_sampler_warnings	Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable. Running the chains for more iterations may help. See http://mc-stan.org/misc/warnings.html#tail-ess
2021-01-18 01:03:18	[Thread 17]	WARN	rstan	throw_sampler_warnings	There were 13 divergent transitions after warmup. See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup to find out why this is a problem and how to eliminate them.
2021-01-18 01:03:18	[Thread 17]	WARN	rstan	throw_sampler_warnings	Examine the pairs() plot to diagnose sampling problems 
2021-01-18 01:08:18	[Thread 22]	INFO			county = Tulare
2021-01-18 01:13:19	[Thread 12]	WARN	rstan	throw_sampler_warnings	There were 6 divergent transitions after warmup. See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup to find out why this is a problem and how to eliminate them.
2021-01-18 01:13:19	[Thread 12]	WARN	rstan	throw_sampler_warnings	Examine the pairs() plot to diagnose sampling problems 
2021-01-18 01:13:23	[Thread 20]	INFO			county = Lassen
